scenario,source,p,method_family,rank,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,16,10000,1543.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,16,10000,1874.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,1,10001,4000.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,1,10001,4012.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,1,10001,4122.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,2,10001,3160.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,2,10001,3216.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,2,10001,3287.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,4,10001,1191.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,4,10001,1279.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,4,10001,1701.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,8,10001,1192.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,8,10001,1285.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,8,10001,1625.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU full-history replay fixed-rank,16,10001,1198.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,TOFU first-epoch replay fixed-rank,16,10001,1284.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.5,Masked PSLB fixed-rank,16,10001,1606.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,1,10000,3826.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,1,10000,3830.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,1,10000,3868.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,2,10000,3240.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,2,10000,3282.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,2,10000,3331.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,4,10000,1458.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,4,10000,1605.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,4,10000,2372.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,8,10000,1457.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,8,10000,1603.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,8,10000,2301.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,16,10000,1473.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,16,10000,1606.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,16,10000,2302.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,1,10001,3969.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,1,10001,3986.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,1,10001,3983.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,2,10001,3251.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,2,10001,3271.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,2,10001,3466.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,4,10001,1256.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,4,10001,1345.0,4,100,0.822084136847368
